Project__c,Salesforce_Field_Name__c,Third_Party_Field_Name__c,Target_Field_Type__c,Exclude_from_su__c,Exclude_from_tpu__c
a0r5g000000kW97,copado__Functional_Specifications__c,System.Reason,,FALSE,FALSE
a0r5g000000kW97,copado__Project__c,projectId,,FALSE,TRUE
a0r5g000000kW97,copado__User_Story_Title__c,System.Title,,FALSE,FALSE
a0r5g000000kW97,recordTypeId,recordTypeId,,FALSE,TRUE
a0r5g000000kW97,copadoccmint__External_Id__c,id,,FALSE,FALSE
a0r5g000000kW97,copado__Developer__c,developer,,FALSE,TRUE
a0r5g000000kW97,copado__Story_Points_SFDC__c,Microsoft.VSTS.Scheduling.StoryPoints,,FALSE,FALSE
a0r5g000000kW97,copado__Status__c,System.State,,FALSE,FALSE
a0r5g000000kW97,copado__Priority__c,Microsoft.VSTS.Common.Priority,,FALSE,FALSE
a0r5g000000kW97,copado__Sprint__c,sprintId,,FALSE,TRUE
